Games,Console,Edition,Developer,Publisher,Year,New,Box,Manual,Genre,
FIFA 12,Playstation 2,European,Electronic Arts,Electronic Arts,2011,No,Yes,Yes,Sports (Football),
EyeToy Play Sports,Playstation 2,European,London Studio,Sony Computer Entertainment,2003,No,Yes,Yes,Sports / Party,
EyeToy Play 3 Platinum,Playstation 2,European,London Studio,Sony Computer Entertainment,2005,No,Yes,Yes,Party,
Commandos Strike Force,Playstation 2,European,Pyro Studios,Eidos Interactive,2006,No,No,Yes,First-Person Shooter / Stealth,
Casper And The Ghostly Trio,Playstation 2,European,Data Design Interactive,Mastertronic Group,2006,No,Yes,Yes,Platformer,
Cabela's Dangerous Adventures,Playstation 2,European,Fun Labs,Activision,2003,No,Yes,Yes,Hunting / Shooter,
Brothers in Arms: Road to Hill 30,Playstation 2,European,Gearbox Software,Ubisoft,2005,No,No,Yes,Tactical Shooter,
Brothers In Arms Earned In Blood,Playstation 2,European,Gearbox Software,Ubisoft,2005,No,Yes,Yes,Tactical Shooter,
Battlefield 2: Modern Combat,Playstation 2,European,Digital Illusions,Electronic Arts,2005,No,Yes,Yes,First-Person Shooter,
龍が如く２,Playstation 2,Japanese,Ryu Ga Gotoku Studio,SEGA,2006,No,Yes,Yes,Action-Adventure,
鬼武者,Playstation 2,Japanese,CAPCOM,CAPCOM,2001,No,Yes,Yes,Action-Adventure,
真女神転生３ノクターン,Playstation 2,Japanese,Atlus,Atlus,2003,No,Yes,Yes,JRPG,
真・三國無双３,Playstation 2,Japanese,Omega Force,Koei,2003,No,Yes,No,Action / Hack and Slash,
真・三國無双２,Playstation 2,Japanese,Omega Force,Koei,2001,No,Yes,Yes,Action / Hack and Slash,
真・三國無双,Playstation 2,Japanese,Omega Force,Koei,2000,No,Yes,Yes,Fighting,
決戦,Playstation 2,Japanese,Koei,Koei,2000,No,Yes,Yes,Real-Time Strategy,
桃太郎電鉄11 ブラックボンビー出現!の巻,Playstation 2,Japanese,Hudson Soft,Hudson Soft,2002,No,Yes,Yes,Board Game / Party,
戦国BASARA2英雄外伝,Playstation 2,Japanese,CAPCOM,CAPCOM,2006,No,Yes,Yes,Action / Hack and Slash,
実践パチンコ必勝法! 鬼武者,Playstation 2,Japanese,Paon Corporation,Tecmo,2003,No,Yes,Yes,Simulation (Pachinko),
実況パワフルプロ野球2009,Playstation 2,Japanese,Konami,Konami,2009,No,Yes,Yes,Sports (Baseball),
実況パワフルプロ野球14,Playstation 2,Japanese,Konami,Konami,2007,No,Yes,No,Sports (Baseball),
実戦パチンコ必勝法北斗の拳,Playstation 2,Japanese,Paon Corporation,Tecmo,2003,No,Yes,Yes,Simulation (Pachinko),
塊魂,Playstation 2,Japanese,Namco,Namco,2004,No,Yes,Yes,Puzzle / Action,
劇空間プロ野球,Playstation 2,Japanese,Square,Square,2000,No,Yes,Yes,Sports (Baseball),
信長の野望 嵐世記,Playstation 2,Japanese,Koei,Koei,2001,No,Yes,Yes,Grand Strategy,
三國志VIII,Playstation 2,Japanese,Koei,Koei,2001,No,Yes,Yes,Grand Strategy,
ワールドサッカーウイニングイレブン6,Playstation 2,Japanese,Konami,Konami,2002,No,Yes,No,Sports (Football),
ロマンシングサガ ミンストレルソング,Playstation 2,Japanese,Square Enix,Square Enix,2005,No,Yes,Yes,JRPG,
みんなのテニス,Playstation 2,Japanese,Clap Hanz,Sony Computer Entertainment,2006,No,Yes,Yes,Sports (Tennis),
みんなのGOLF3,Playstation 2,Japanese,Clap Hanz,Sony Computer Entertainment,2001,No,Yes,Yes,Sports (Golf),
みんなのGOLF4,Playstation 2,Japanese,Clap Hanz,Sony Computer Entertainment,2003,No,Yes,Yes,Sports (Golf),
ぼくのなつやすみ2,Playstation 2,Japanese,Millennium Kitchen,Sony Computer Entertainment,2002,No,Yes,Yes,Adventure / Life Simulation,
プロ野球スピリッツ2,Playstation 2,Japanese,Konami,Konami,2005,No,Yes,Yes,Sports (Baseball),
ファンタビジョン,Playstation 2,Japanese,Sony Computer Entertainment Japan,Sony Computer Entertainment,2000,No,Yes,Yes,Puzzle,
ファイナルファンタジーXII,Playstation 2,Japanese,Square Enix,Square Enix,2006,No,Yes,Yes,JRPG,
ファイナルファンタジーX,Playstation 2,Japanese,Square Enix,Square Enix,2001,No,Yes,Yes,JRPG,
ドラゴンクエストVIII 空と海と大地と呪われし姫君,Playstation 2,Japanese,Armour Project,Square Enix,2004,No,Yes,Yes,JRPG,
ドラゴンクエストV 天空の花嫁,Playstation 2,Japanese,ArtePiazza,Square Enix,2004,No,Yes,No,JRPG,
セイレン,Playstation 2,Japanese,Japan Studio,Sony Computer Entertainment,2003,No,Yes,Yes,Adventure,
クラナド,Playstation 2,Japanese,Studio Key,Studio Key,2006,No,Yes,Yes,Visual Novel,
ウイニングポスト5,Playstation 2,Japanese,Koei,Koei,2000,No,Yes,Yes,Simulation / Horse Racing,
World Rally Championship,Playstation 2,European,Evolution Studios,Bam! Entertainment,2001,No,Yes,No,Racing,
Virtua Tennis 2,Playstation 2,European,SEGA,SEGA,2001,No,No,No,Sports (Tennis),
Unreal Tournament,Playstation 2,European,Epic Games,Epic Games,2001,No,Yes,Yes,First-Person Shooter,
Time Crisis II,Playstation 2,European,Namco,Sony,2001,No,No,No,Light Gun Shooter,
Theme Park World,Playstation 2,European,Bullfrog Productions,Electronic Arts,2000,No,Yes,Yes,Construction and Management Simulation,
SSX,Playstation 2,European,Electronic Arts,Electronic Arts,2000,No,Yes,Yes,Snowboarding,
Snowboard Racer 2,Playstation 2,European,Atelier Double,Midas Interactive Entertainment,2003,No,Yes,Yes,Racing / Snowboarding,
Sled Storm,Playstation 2,European,Electronic Arts,Electronic Arts,2002,No,Yes,No,Racing,
Return to Castle Wolfenstein: Operation Resurrection,Playstation 2,European,id Software,Activision,2001,No,Yes,Yes,First-Person Shooter,
Red Faction,Playstation 2,European,Volition Inc,THQ,2001,No,Yes,No,First-Person Shooter,
Rayman Revolution,Playstation 2,European,Ubisoft,Ubisoft,2000,No,Yes,Yes,Platformer,
Play It Pinball,Playstation 2,European,Astroll,Play It,2003,No,Yes,No,Pinball,
Onimusha: Warlords,Playstation 2,European,CAPCOM,CAPCOM,2001,No,Yes,Yes,Action-Adventure,
Neowave The King of Fighters,Playstation 2,European,SNK Corporation,SNK Corporation,2004,No,No,No,Fighting,
Need For Speed Underground 2,Playstation 2,European,Electronic Arts,Electronic Arts,2004,No,Yes,Yes,Racing,
Need For Speed Most Wanted,Playstation 2,European,Electronic Arts,Electronic Arts,2005,No,Yes,Yes,Racing,
Nascar 09,Playstation 2,European,Electronic Arts,Electronic Arts,2008,No,Yes,No,Racing,
MX vs. ATV Unleashed,Playstation 2,European,Rainbow Studios,THQ,2005,No,Yes,Yes,Racing,
Midway Arcade Treasures,Playstation 2,European,Midway Games,Midway Games,2003,No,Yes,No,Compilation / Arcade,
Metal Gear Solid 2: Sons of Liberty,Playstation 2,European,Konami,Konami,2001,No,Yes,Yes,Stealth / Action-Adventure,
Kingdom Hearts Platinum,Playstation 2,European,Square,Square,2002,No,Yes,No,Action RPG,
Hitman 2: Silent Assassin,Playstation 2,European,IO Interactive,IO Interactive,2002,No,Yes,Yes,Stealth,
Grand Theft Auto Liberty City Stories,Playstation 2,European,Rockstar,Rockstar Games,2005,No,Yes,No,Action-Adventure / Open World,
Gran Turismo 4,Playstation 2,European,Polyphony Digital,Sony Computer Entertainment,2004,No,Yes,Yes,Racing / Simulation,
